keyword,nde_position,shree_anant_position,entergy_position,ankit_position,debak_position,volume,kd,cpc,best_competitor_evidence,strategic_note
polycab wires,0,0,0,21,0,33100,41,0.1,Ankit #21,Brand/category head term; harder
finolex wire,0,20,0,0,0,18100,31,0.13,Shree #20,High-value brand/category gap
copper wire price,0,21,0,0,0,8100,32,0.01,Shree #21,Relevant only if copper house wire range is broad
cable wire,0,2,0,0,0,5400,34,0.07,Shree #2,Generic wire/cable cluster
electrical cable,0,12,0,0,0,4400,40,0.07,Shree #12,Harder generic term
electrical wholesalers near me,0,10,0,0,0,4400,32,0.07,Shree #10,Local/B2B homepage opportunity
electric wire price,0,2,0,0,0,3600,26,0.01,Shree #2,Existing wires category opportunity
finolex wire price,0,3,0,0,0,3600,17,0.02,Shree #3,Top new commercial hub opportunity
wire cable,0,3,0,0,0,3600,28,0.07,Shree #3,Generic wires category
wire price,0,1,0,0,0,3600,26,0.01,Shree #1,Existing wires category
finolex wire price list,0,4,0,0,0,1600,11,0.07,Shree #4,Top new hub opportunity
havells mcb 32 amp price,0,14,0,0,0,1600,22,0.01,Shree #14,Havells circuit-protection hub
house wiring cables price list,0,1,0,0,0,1600,28,0.01,Shree #1,House-wire family opportunity
electric wire shop near me,0,2,0,0,0,1600,30,0.13,Shree #2,Homepage/local-commercial
aluminium armoured cable,0,0,8,0,0,1300,8,0.06,Entergy #8,Only target if catalogue genuinely carries this family
wholesale electrical market in delhi,0,4,0,0,0,1000,25,0.0,Shree #4,"Contextual/local content, not a misleading market page"
finolex cables price list,0,6,0,0,0,880,10,0.1,Shree #6,Finolex range/price cluster
house wiring wire,0,1,0,0,0,880,25,0.01,Shree #1,House-wire subcategory/content
wire for home wiring,0,2,0,0,0,880,23,0.01,Shree #2,House-wire buying intent
electrical shops in delhi,0,3,0,0,0,720,22,0.02,Shree #3,Keyword Gap snapshot; exact Keyword Analytics now 590/KD21
house wiring cables,0,1,0,0,0,720,11,0.02,Shree #1,Strong subcategory/guide opportunity
best wire for wiring,0,25,0,0,0,720,12,0.06,Shree #25,Content-to-commerce opportunity
finolex switches,0,17,0,0,0,480,21,0.01,Shree #17,Validate NDE Finolex switch inventory before targeting
fire alarm cable,0,0,20,0,0,480,17,0.18,Entergy #20,Validate inventory; not a core declared category
