keyword,cluster,brand,category,location,intent,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,semrush_volume,semrush_kd,semrush_cpc,serp_evidence,competitor_evidence,existing_url,recommended_url,page_type,commercial_value,conversion_likelihood,opportunity_score,priority,confidence,notes
electrical wires supplier delhi,Delhi NCR wires,,,Delhi,local commercial,,,,,N/A,N/A,N/A,"Local supplier/distributor SERP observed","Tegh Cables; Shree Jee Trading","/category/wires-cables","/category/wires-cables",existing category,High,High,80,P1,High,"GSC export unavailable; enrich category before new page."
electrical cable supplier delhi,Delhi NCR wires,,,Delhi,local commercial,,,,,N/A,N/A,N/A,"Local distributor and directory SERP observed","Tegh Cables; Justdial","/category/wires-cables","/category/wires-cables",existing category,High,High,79,P1,High,"Semantic equivalent cluster; do not split page."
electrical wires bulk quote delhi,Delhi NCR wires,,,Delhi,local commercial,,,,,N/A,N/A,N/A,"Commercial wording inferred from seller SERPs","BRBD; Shree Jee Trading","/category/wires-cables","/category/wires-cables",existing category,High,High,78,P1,Moderate,"Use project/bulk CTA; verify GSC."
polycab wire dealer delhi,Polycab wires,Polycab,Wires & Cables,Delhi,local commercial,,,,,N/A,N/A,N/A,"Specialist and directory results observed","Tegh Cables; BRBD; Justdial","/brand/polycab","/brand/polycab",existing brand,High,High,75,P1,High,"Use separate URL only if GSC proves distinct intent."
polycab cable supplier delhi,Polycab wires,Polycab,Wires & Cables,Delhi,local commercial,,,,,N/A,N/A,N/A,"Distributor-focused SERP observed","Tegh Cables; BRBD","/brand/polycab","/brand/polycab",existing brand,High,High,74,P1,High,"Cross-link to wires category and products."
finolex wire dealer delhi,Finolex wires,Finolex,Wires & Cables,Delhi,local commercial,,,,,N/A,N/A,N/A,"Manufacturer dealer locator and local-seller intent","Finolex dealer locator; local sellers","/brand/finolex","/brand/finolex",existing brand,High,High,74,P1,Moderate,"Authorisation wording requires proof."
finolex wire supplier delhi,Finolex wires,Finolex,Wires & Cables,Delhi,local commercial,,,,,N/A,N/A,N/A,"Local commercial intent hypothesis","Local sellers","/brand/finolex","/brand/finolex",existing brand,High,High,72,P1,Moderate,"Validate in GSC before brand×category page."
mcb dealer delhi,Circuit protection,,Circuit Protection,Delhi,local commercial,,,,,N/A,N/A,N/A,"Local commercial SERP observed","Local suppliers; directories","/category/circuit-protection","/category/circuit-protection",existing category,High,High,78,P1,High,"Improve category before mcb-dealer page."
rccb supplier delhi,Circuit protection,,Circuit Protection,Delhi,local commercial,,,,,N/A,N/A,N/A,"Commercial category intent","Supplier/manufacturer pressure","/category/circuit-protection","/category/circuit-protection",existing category,High,High,76,P1,Moderate,"Include RCCB and RCBO navigation."
rcbo quotation,Circuit protection,,Circuit Protection,Delhi NCR,commercial investigation,,,,,N/A,N/A,N/A,"Product selection intent","Catalogue competitors","/category/circuit-protection","/category/circuit-protection",existing category,High,High,73,P1,Moderate,"Quote CTA needs poles/rating prompt."
modular switches delhi,Modular switches,,Switches & Sockets,Delhi,local commercial,,,,,N/A,N/A,N/A,"Manufacturer, local seller and directory SERP observed","Iconic Industries; Justdial","/category/switches-sockets","/category/switches-sockets",existing category,High,High,77,P1,High,"Differentiate via multibrand compatibility support."
switches and sockets supplier delhi,Modular switches,,Switches & Sockets,Delhi,local commercial,,,,,N/A,N/A,N/A,"Local commercial intent observed","Local manufacturers/sellers","/category/switches-sockets","/category/switches-sockets",existing category,High,High,75,P1,Moderate,"No separate supplier page without GSC."
modular switch plates,Plates,,Plates,Delhi NCR,transactional,,,,,N/A,N/A,N/A,"Direct product-category intent","Manufacturer/catalogue sites","/category/plates","/category/plates",existing category,Medium,Medium,68,P2,Moderate,"Lead with module/series compatibility."
electrical mounting boxes,Mounting boxes,,Mounting Boxes,Delhi NCR,transactional,,,,,N/A,N/A,N/A,"Direct product-category intent","Catalogue sites","/category/boxes","/category/boxes",existing category,Medium,Medium,67,P2,Moderate,"Do not make pages for each size."
lauritz knudsen dealer delhi,LK local dealer,Lauritz Knudsen,Switches & Sockets,Delhi,local commercial,,,,,N/A,N/A,N/A,"Brand-local commercial hypothesis","BRBD mentions LK switchgear","/brand/lauritz-knudsen","/brand/lauritz-knudsen",existing brand,High,High,72,P1,Moderate,"Verify dealer/authorisation claim before publication."
