priority,working_title,primary_keyword,volume,kd,cpc,supports_cluster,intent,suggested_url,derived_opportunity_score
1,Which wire is best for house wiring?,which wire is best for house wiring,590,7,0.07,House wires,Commercial investigation,/guides/best-wire-for-house-wiring,91
2,Which company wire is best for house wiring in India?,which company wire is best for house wiring in india,480,14,0.26,House wires,Informational + commercial,/guides/best-wire-for-house-wiring,88
3,MCB vs MCCB: differences and where each is used,what is the difference between mcb and mccb,210,10,0.0,Circuit protection,Informational + selection,/guides/mcb-vs-mccb,86
4,Which MCB is best for home?,which mcb is best for home,210,9,0.0,Circuit protection,Informational + commercial,/guides/how-to-choose-mcb-for-home,86
5,Which MCB for a 1.5-ton AC?,which mcb is best for 1.5 ton ac,110,15,0.01,Circuit protection,Informational + selection,/guides/mcb-rating-for-home-appliances,81
6,What is RCCB in electrical systems?,what is rccb in electrical,480,21,0.04,Circuit protection,Informational,/guides/rccb-explained,80
7,How does an RCCB work?,how rccb works,110,12,0.0,Circuit protection,Informational,/guides/rccb-explained,77
8,How to identify original Finolex wire,finolex wire original,140,14,0.15,Finolex wires,Trust / informational,/guides/how-to-check-original-finolex-wire,83
9,How to choose a water heater for your home,which is the best water heater in india,260,22,0.02,Water heaters,Commercial investigation,/guides/how-to-choose-water-heater,79
10,"PVC, FR, FRLS and wire insulation: what buyers should know",why are electric wires coated with pvc,720,21,0.0,Wires & cables,Informational,/guides/electrical-wire-insulation-pvc-fr-frls,69
