keyword,position,previous_position,position_difference,volume,cpc,url,estimated_traffic,competitive_density,results,kd,intent_code,position_type
delhi electrical malviya nagar,3,3,0,720,0.2,https://www.newdelhielectricals.com/,50,0.1,172,22,3,Organic
neeru electronics malviya nagar,18,18,0,110,0.0,https://www.newdelhielectricals.com/,0,0.04,175,27,2,Organic
dd electricals,22,22,0,210,0.0,https://www.newdelhielectricals.com/,0,0.01,138,26,3,Organic
new deepmala electricals,23,23,0,210,0.0,https://www.newdelhielectricals.com/,0,0.33,170,27,"1,3",Organic
neeru electronics malviya nagar new delhi,23,23,0,110,0.0,https://www.newdelhielectricals.com/,0,0.04,175,27,2,Organic
delhi electrical malviya nagar,28,28,0,720,0.2,https://www.newdelhielectricals.com/brands,0,0.1,172,22,3,Organic
new light sector 15 panchkula,28,28,0,260,0.0,https://www.newdelhielectricals.com/brands,0,0.33,174,25,1,Organic
new bright electricals,29,29,0,320,0.0,https://www.newdelhielectricals.com/,0,0.05,174,30,0,Organic
finolex dealers in delhi,29,29,0,110,0.05,https://www.newdelhielectricals.com/brand/finolex,0,0.04,183,19,0,Organic
new reliable electrical,31,31,0,110,0.0,https://www.newdelhielectricals.com/brands,0,0.01,187,27,"1,3",Organic
new bright electricals,32,32,0,320,0.0,https://www.newdelhielectricals.com/brands,0,0.05,174,30,0,Organic
new capital electronics,35,35,0,140,0.0,https://www.newdelhielectricals.com/,0,0.33,176,24,3,Organic
new light electricals,35,35,0,1000,0.0,https://www.newdelhielectricals.com/brands,0,0.01,194,23,0,Organic
new light electricals pvt ltd,42,42,0,720,0.0,https://www.newdelhielectricals.com/brands,0,0.02,178,24,"1,3",Organic
new india electricals ltd,45,45,0,1000,0.0,https://www.newdelhielectricals.com/,0,0.03,172,34,2,Organic
new india electricals,46,46,0,1000,0.0,https://www.newdelhielectricals.com/,0,0.03,173,32,2,Organic
electrical company in delhi,46,46,0,320,0.14,https://www.newdelhielectricals.com/,0,0.08,193,23,0,Organic
new india electricals,50,50,0,1000,0.0,https://www.newdelhielectricals.com/brands,0,0.03,173,32,2,Organic
new india electricals ltd,50,50,0,1000,0.0,https://www.newdelhielectricals.com/brands,0,0.03,172,34,2,Organic
nl90053nm01w,55,55,0,110,0.0,https://www.newdelhielectricals.com/havells/hdmi-socket-1m-white,0,1.0,354,20,"1,3",Organic
electrical company in delhi,63,63,0,320,0.14,https://www.newdelhielectricals.com/about,0,0.08,193,23,0,Organic
electrical company in delhi,78,78,0,320,0.14,https://www.newdelhielectricals.com/brands,0,0.08,193,23,0,Organic
